id,month,day,year,temp,AverageTemperatureUncertaintyFahr,City,country_id,Country,Latitude,Longitude
1,1,1,1853,NA,NA,Auckland,NEW,New Zealand,36.17S,175.03E
2,2,1,1853,NA,NA,Auckland,NEW,New Zealand,36.17S,175.03E
3,3,1,1853,NA,NA,Auckland,NEW,New Zealand,36.17S,175.03E
4,4,1,1853,NA,NA,Auckland,NEW,New Zealand,36.17S,175.03E
5,5,1,1853,NA,NA,Auckland,NEW,New Zealand,36.17S,175.03E
6,6,1,1853,51.9062,36.9572,Auckland,NEW,New Zealand,36.17S,175.03E
7,7,1,1853,52.3886,34.5488,Auckland,NEW,New Zealand,36.17S,175.03E
8,8,1,1853,52.853,33.5498,Auckland,NEW,New Zealand,36.17S,175.03E
9,9,1,1853,52.5776,33.638,Auckland,NEW,New Zealand,36.17S,175.03E
10,10,1,1853,54.8726,33.9836,Auckland,NEW,New Zealand,36.17S,175.03E
11,11,1,1853,56.6888,34.2518,Auckland,NEW,New Zealand,36.17S,175.03E
12,12,1,1853,59.846,37.5062,Auckland,NEW,New Zealand,36.17S,175.03E
13,1,1,1854,64.5908,36.23,Auckland,NEW,New Zealand,36.17S,175.03E
14,2,1,1854,65.372,35.6576,Auckland,NEW,New Zealand,36.17S,175.03E
15,3,1,1854,64.9688,35.3966,Auckland,NEW,New Zealand,36.17S,175.03E
16,4,1,1854,59.927,35.2022,Auckland,NEW,New Zealand,36.17S,175.03E
17,5,1,1854,80,34.511,Auckland,NEW,New Zealand,36.17S,175.03E
18,6,1,1854,54.518,34.7972,Auckland,NEW,New Zealand,36.17S,175.03E
19,7,1,1854,53.1914,35.024,Auckland,NEW,New Zealand,36.17S,175.03E
20,8,1,1854,52.8044,34.3544,Auckland,NEW,New Zealand,36.17S,175.03E
21,9,1,1854,53.3912,33.683,Auckland,NEW,New Zealand,36.17S,175.03E
22,10,1,1854,54.7538,37.4108,Auckland,NEW,New Zealand,36.17S,175.03E
23,11,1,1854,57.317,35.0024,Auckland,NEW,New Zealand,36.17S,175.03E
24,12,1,1854,60.0296,35.924,Auckland,NEW,New Zealand,36.17S,175.03E
